run_id,rps,injected_latency_ms,throughput_rps,error_rate,p95_latency_ms,p99_latency_ms,app_pool_active_max,app_in_flight_max,app_pool_wait_p95_ms_max,app_pool_timeout_count,app_query_timeout_count,app_error_count,saturated,saturation_reasons
20260728T055717Z_rps5_lat0,5,0,5.011111111111111,0,4.099677,5.823785,1,1,0.102,0,0,0,False,
20260728T055940Z_rps10_lat0,10,0,10,0,2.8107988499999994,3.6498494799999994,1,1,0.157,0,0,0,False,
20260728T060159Z_rps20_lat0,20,0,20,0,2.9323818999999998,4.17987447,1,1,0.121,0,0,0,False,
20260728T060418Z_rps40_lat0,40,0,40.01111111111111,0,2.711156,3.775627,1,1,0.136,0,0,0,False,
20260728T060639Z_rps60_lat0,60,0,60.01111111111111,0,2.345718,3.214846,1,1,0.072,0,0,0,False,
20260728T060858Z_rps5_lat50,5,50,5,0,103.53339915,103.84143489,1,1,0.1,0,0,0,False,
20260728T061116Z_rps10_lat50,10,50,10,0,104.04481565,104.51648215,2,2,0.132,0,0,0,False,
20260728T061336Z_rps20_lat50,20,50,20,0,104.3642667,105.81794195,3,3,0.097,0,0,0,False,
20260728T061555Z_rps40_lat50,40,50,40,0,104.20519155000001,104.94584253,5,5,0.082,0,0,0,False,
20260728T061814Z_rps60_lat50,60,50,60,0,104.04385615,104.71849223000001,7,7,0.07,0,0,0,False,
20260728T062035Z_rps5_lat100,5,100,5,0,204.42399695,204.98058267,2,2,0.101,0,0,0,False,
20260728T062254Z_rps10_lat100,10,100,10,0,204.4658338,204.98088016,3,3,0.125,0,0,0,False,
20260728T062513Z_rps20_lat100,20,100,20,0,204.68101439999998,205.51393152,5,5,0.104,0,0,0,False,
20260728T062732Z_rps40_lat100,40,100,40,0,204.23219505,206.19051707,9,9,0.08,0,0,0,False,
20260728T062952Z_rps60_lat100,60,100,60,0.18092592592592593,2199.77489075,2203.8316594000003,10,130,2000.878,972,0,0,True,error_rate=18.09%; pool_timeouts=972; pool_active=10 (max=10)
20260728T063213Z_rps5_lat200,5,200,5,0,404.22074755,404.75310598,3,3,0.166,0,0,0,False,
20260728T063433Z_rps10_lat200,10,200,10,0,404.15409865,405.09323718,6,6,0.069,0,0,0,False,
20260728T063656Z_rps20_lat200,20,200,20.011111111111113,0,404.230115,407.587249,9,9,0.09,0,0,0,False,
20260728T063917Z_rps40_lat200,40,200,40,0.3811111111111111,2394.4237693,2402.31399472,10,90,2000.986,1367,0,0,True,error_rate=38.11%; pool_timeouts=1367; pool_active=10 (max=10)
20260728T064138Z_rps60_lat200,60,200,60,0.5874074074074074,2393.6317133999996,2400.98611595,10,130,2001.017,3121,0,0,True,error_rate=58.74%; pool_timeouts=3121; pool_active=10 (max=10)
20260728T064359Z_rps5_lat400,5,400,5,0,804.31238865,805.44981263,5,5,0.105,0,0,0,False,
20260728T064619Z_rps10_lat400,10,400,9.988888888888889,0,804.2136461,806.58213546,10,10,2.581,0,0,0,True,pool_active=10 (max=10)
20260728T064840Z_rps20_lat400,20,400,20.011111111111113,0.37978900610771793,2790.40057,2800.64719,10,50,2001.117,683,0,0,True,error_rate=37.98%; pool_timeouts=683; pool_active=10 (max=10)
20260728T065103Z_rps40_lat400,40,400,40,0.6905555555555556,2791.6264171000003,2800.6289851899996,10,90,2001.052,2458,0,0,True,error_rate=69.06%; pool_timeouts=2458; pool_active=10 (max=10)
20260728T065324Z_rps60_lat400,60,400,60,0.7931481481481482,2790.56997,2799.3476033399998,10,131,2000.965,4267,0,0,True,error_rate=79.31%; pool_timeouts=4267; pool_active=10 (max=10)
20260728T065547Z_rps5_lat800,5,800,4.977777777777778,0.015625,1604.79775595,3607.00090486,10,10,111.611,0,7,0,True,error_rate=1.56%; pool_active=10 (max=10)
20260728T065808Z_rps10_lat800,10,800,10,0.37666666666666665,3584.7181265500003,3598.6790226900002,10,30,2001.248,333,0,0,True,error_rate=37.67%; pool_timeouts=333; pool_active=10 (max=10)
20260728T070031Z_rps20_lat800,20,800,20,0.6927777777777778,3594.0080008,3601.76040965,10,50,2001.122,1239,5,0,True,error_rate=69.28%; pool_timeouts=1239; pool_active=10 (max=10)
20260728T070253Z_rps40_lat800,40,800,40,0.8422222222222222,3589.73553075,3599.0775424500002,10,91,2001.025,3034,0,0,True,error_rate=84.22%; pool_timeouts=3034; pool_active=10 (max=10)
20260728T070515Z_rps60_lat800,60,800,59.98888888888889,0.8977588442304131,3588.1915965000003,3599.11040668,10,131,2001.043,4783,5,0,True,error_rate=89.78%; pool_timeouts=4783; pool_active=10 (max=10)
