run_id,rps,retry_policy,injected_latency_ms,error_rate,p95_latency_ms,p99_latency_ms,amplification_factor,retry_rate,retry_success_rate,a_offered_count,a_success_count,b_success_count,b_pool_timeout_count,b_pool_active_max
20260728T102621Z_rps5_lat400_none,5,none,400,0,807.1114259999999,808.3007605,1.0,0.0,0.0,443,443,443,0,5
20260728T102842Z_rps10_lat400_none,10,none,400,0,808.03015,809.539732,0.9988839285714286,0.0,0.0,896,896,895,0,8
20260728T122157Z_rps12_lat400_none,12,none,400,0,807.51828385,808.95303482,1.0,0.0,0.0,1075,1075,1075,0,10
20260728T122423Z_rps14_lat400_none,14,none,400,0.9984126984126984,2006.0646106499998,2008.76987747,0.999203187250996,0.0,0.0,1255,2,1116,138,10
20260728T122644Z_rps16_lat400_none,16,none,400,1,2007.3955970499999,2013.8771526399996,1.000697350069735,0.0,,1434,0,1116,319,10
20260728T122907Z_rps18_lat400_none,18,none,400,1,2005.349199,2007.6316458000001,1.0,0.0,,1596,0,1105,491,10
20260728T103102Z_rps20_lat400_none,20,none,400,1,2006.3553226,2009.19273593,1.0005577244841048,0.0,,1793,0,1118,676,10
20260728T120147Z_rps40_lat400_none,40,none,400,1,2004.5510834000002,2005.98274886,1.0002821670428894,0.0,,3544,0,1101,2444,10
20260728T114918Z_rps60_lat400_none,60,none,400,0.9994442386068915,2006.0484987,2011.60930374,0.9998140572703608,0.0,0.0,5378,3,1120,4257,10
20260728T103808Z_rps5_lat400_immediate,5,immediate,400,0,807.83816955,808.79247304,1.0,0.0,0.0,444,444,444,0,5
20260728T104033Z_rps10_lat400_immediate,10,immediate,400,0,807.2084590000001,1606.3487894,1.0,0.0,0.0,884,884,884,0,10
20260728T123128Z_rps12_lat400_immediate,12,immediate,400,0,1040.951894,1348.55631725,1.0,0.0,0.0,1058,1058,1058,0,10
20260728T123353Z_rps14_lat400_immediate,14,immediate,400,0.9991883116883117,4010.0070494,4040.1849856700005,2.0049751243781095,1.0,1.0,1206,1,1104,1314,10
20260728T123617Z_rps16_lat400_immediate,16,immediate,400,0.9985845718329794,4011.8071022,4085.7183738399967,2.001439884809215,0.9992800575953924,0.5,1389,2,1094,1686,10
20260728T123840Z_rps18_lat400_immediate,18,immediate,400,0.9987421383647799,4011.4662273999998,4085.89054725,1.9993610223642173,1.0,1.0,1565,2,1105,2024,10
20260728T104253Z_rps20_lat400_immediate,20,immediate,400,0.9977439368302312,4009.4658744,4052.6757668799996,1.9994275901545506,0.9988551803091014,0.5,1747,4,1109,2384,10
20260728T120413Z_rps40_lat400_immediate,40,immediate,400,0.9985795454545454,4012.5778050999998,4115.37670596,1.9991356957649093,0.9991356957649092,0.4,3471,5,1107,5832,10
20260728T115146Z_rps60_lat400_immediate,60,immediate,400,0.9994229659549914,4102.7297777,4169.44088162,2.000194893782888,1.0,1.0,5131,3,1110,9153,10
20260728T105004Z_rps5_lat400_backoff,5,backoff,400,0,807.9110014500001,1607.98011826,1.0,0.0,0.0,444,444,444,0,8
20260728T105229Z_rps10_lat400_backoff,10,backoff,400,0,806.5071501,807.38466838,1.0011261261261262,0.0,0.0,888,888,889,0,9
20260728T124104Z_rps12_lat400_backoff,12,backoff,400,0,1037.05216175,1326.7470595,1.0,0.0,0.0,1071,1071,1071,0,10
20260728T124330Z_rps14_lat400_backoff,14,backoff,400,0.9991755976916735,4103.953425799999,4111.386975079999,2.0025188916876573,0.9991603694374476,0.0,1191,1,1105,1280,10
20260728T124554Z_rps16_lat400_backoff,16,backoff,400,0.9985652797704447,4104.46556615,4144.01216708,1.9978213507625273,0.9992737835875091,0.5,1377,2,1096,1655,10
20260728T124817Z_rps18_lat400_backoff,18,backoff,400,0.9993634627625716,4104.2263795,4152.5452813,2.000645577792124,1.0,1.0,1549,1,1107,1992,10
20260728T105450Z_rps20_lat400_backoff,20,backoff,400,0.9988479262672811,4104.87742475,4159.339355950001,1.9982456140350877,0.9988304093567252,0.0,1710,2,1099,2318,10
20260728T120643Z_rps40_lat400_backoff,40,backoff,400,0.9979762937265105,4116.152989,4214.64292466,1.9982394366197183,0.9988262910798122,0.42857142857142855,3408,7,1110,5700,10
20260728T115415Z_rps60_lat400_backoff,60,backoff,400,0.9990236281976177,4187.333154,4254.551805,2.0011883541295306,0.9994058229352347,0.4,5049,5,1110,8994,10
