run_id,rps,injected_latency_ms,retry_policy,breaker_enabled,pool_size,throughput_rps,error_rate,p95_latency_ms,p99_latency_ms,amplification_factor,retry_rate,retry_success_rate,probe_success_rate,a_offered_count,a_timeout_count,a_upstream_error_count,b_received_count,b_success_count,b_pool_active_max,b_pool_timeout_count,b_query_timeout_count,b_error_count,saturated,saturation_reasons
20260729T094417Z_rps10_lat400_none,10,400,none,False,10,10.011111111111111,0,806.624027,807.774891,1.0,0.0,0.0,,888,0,0,888,888,9,0,0,0,False,
20260729T094639Z_rps12_lat400_none,12,400,none,False,10,12.011111111111111,0,806.428616,807.2245512000001,1.0,0.0,0.0,,1064,0,0,1064,1064,10,0,0,0,True,pool_active=10 (max=10)
20260729T094859Z_rps14_lat400_none,14,400,none,False,10,14.011111111111111,1,2004.553044,2006.2006438,1.0,0.0,,,1242,1230,12,1242,1105,10,137,0,0,True,error_rate=100.00%; pool_timeouts=137; pool_active=10 (max=10)
20260729T095120Z_rps16_lat400_none,16,400,none,False,10,16.011111111111113,0.9993060374739764,2004.648774,2006.6165302000002,1.001410437235543,0.0,0.0,,1418,1376,41,1420,1105,10,315,0,0,True,error_rate=99.93%; pool_timeouts=315; pool_active=10 (max=10)
20260729T095341Z_rps18_lat400_none,18,400,none,False,10,18,1,2004.6649109,2006.58992499,1.00062656641604,0.0,,,1596,1537,59,1597,1097,10,500,0,0,True,error_rate=100.00%; pool_timeouts=500; pool_active=10 (max=10)
20260729T095603Z_rps20_lat400_none_pool20,20,400,none,False,20,20,0,806.5150397,807.98054422,1.0,0.0,0.0,,1777,0,0,1777,1777,17,0,0,0,False,
20260729T095831Z_rps24_lat400_none_pool20,24,400,none,False,20,24,0,806.5242999000001,807.24757663,1.0,0.0,0.0,,2129,0,0,2129,2129,20,0,0,0,True,pool_active=20 (max=20)
20260729T100051Z_rps28_lat400_none_pool20,28,400,none,False,20,28,0.998015873015873,2005.0901293,2006.98381252,1.000805152979066,0.0,0.0,,2484,2450,30,2486,2210,20,276,0,0,True,error_rate=99.80%; pool_timeouts=276; pool_active=20 (max=20)
20260729T100313Z_rps32_lat400_none_pool20,32,400,none,False,20,31.988888888888887,0.9989579715178881,2005.7124101000002,2008.93831448,1.0,0.0,0.0,,2842,2767,72,2842,2215,20,627,0,0,True,error_rate=99.90%; pool_timeouts=627; pool_active=20 (max=20)
20260729T100534Z_rps36_lat400_none_pool20,36,400,none,False,20,35.98888888888889,0.9984563136770608,2004.7519539999998,2006.5306668599999,1.000312597686777,0.0,0.0,,3199,3070,124,3200,2200,20,1000,0,0,True,error_rate=99.85%; pool_timeouts=1000; pool_active=20 (max=20)
20260729T100756Z_rps40_lat400_none_pool40,40,400,none,False,40,40,0,806.8033615,808.15037838,1.000281928390189,0.0,0.0,,3547,0,0,3548,3548,33,0,0,0,False,
20260729T101024Z_rps48_lat400_none_pool40,48,400,none,False,40,48,0,806.39640125,807.45245484,1.0,0.0,0.0,,4258,0,0,4258,4258,39,0,0,0,False,
20260729T101244Z_rps56_lat400_none_pool40,56,400,none,False,40,55.977777777777774,0.9976181024215959,2005.1537844,2007.4871812000001,1.0006032575909913,0.0,0.0,,4973,4900,62,4976,4428,40,548,0,0,True,error_rate=99.76%; pool_timeouts=548; pool_active=40 (max=40)
20260729T101505Z_rps64_lat400_none_pool40,64,400,none,False,40,63.977777777777774,0.9980896144494616,2005.37194905,2009.135232,1.0,0.0,0.0,,5687,5538,139,5687,4432,40,1255,0,0,True,error_rate=99.81%; pool_timeouts=1255; pool_active=40 (max=40)
20260729T101726Z_rps72_lat400_none_pool40,72,400,none,False,40,72,0.9979938271604938,2005.38324115,2009.84521565,1.0012519561815336,0.0,0.0,,6390,6166,211,6398,4393,40,2005,0,0,True,error_rate=99.80%; pool_timeouts=2005; pool_active=40 (max=40)
