run_id,rps,injected_latency_ms,retry_policy,breaker_enabled,pool_size,admission_control_enabled,admission_control_mode,admission_ewma_half_life_s,throughput_rps,error_rate,p95_latency_ms,p99_latency_ms,amplification_factor,retry_rate,retry_success_rate,probe_success_rate,admission_rejection_rate,a_offered_count,a_timeout_count,a_upstream_error_count,b_received_count,b_success_count,b_pool_active_max,b_pool_timeout_count,b_query_timeout_count,b_error_count,b_admission_rejected_count,b_admission_rejected_latency_p95_ms,b_admission_ewma_utilization_max,b_admission_ewma_utilization_mean,saturated,saturation_reasons
20260730T055908Z_rps12_lat400_none,12,400,none,False,10,False,instantaneous,2.0,12,0,806.1671648500001,808.36569523,1.0,0.0,0.0,,0.0,1078,0,0,1078,1078,10,0,0,0,0,,,,True,pool_active=10 (max=10)
20260730T060131Z_rps14_lat400_none,14,400,none,False,10,False,instantaneous,2.0,14,0.9984126984126984,2004.2186069000002,2006.17221012,1.001609010458568,0.0,0.0,,0.0,1243,1229,13,1245,1108,10,137,0,0,0,,,,True,error_rate=99.84%; pool_timeouts=137; pool_active=10 (max=10)
20260730T060352Z_rps16_lat400_none,16,400,none,False,10,False,instantaneous,2.0,16,1,2004.2750571,2006.15095665,1.00070323488045,0.0,,,0.0,1422,1382,40,1423,1109,10,314,0,0,0,,,,True,error_rate=100.00%; pool_timeouts=314; pool_active=10 (max=10)
20260730T060614Z_rps18_lat400_none,18,400,none,False,10,False,instantaneous,2.0,18,0.9987654320987654,2004.21415385,2006.83889592,1.0,0.0,0.0,,0.0,1597,1543,52,1597,1107,10,490,0,0,0,,,,True,error_rate=99.88%; pool_timeouts=490; pool_active=10 (max=10)
20260730T060835Z_rps12_lat400_none_admission-on,12,400,none,False,10,True,instantaneous,2.0,12,0,805.9941712,806.83343417,1.0,0.0,0.0,,0.0,1065,0,0,1065,1065,10,0,0,0,0,,,,True,pool_active=10 (max=10)
20260730T061103Z_rps14_lat400_none_admission-on,14,400,none,False,10,True,instantaneous,2.0,14.011111111111111,0.16653449643140364,805.752438,806.3145168,0.8327974276527331,0.0,0.0,,0.16720257234726688,1244,0,208,1036,1036,10,0,0,0,208,0.027,,,True,error_rate=16.65%; pool_active=10 (max=10)
20260730T061323Z_rps16_lat400_none_admission-on,16,400,none,False,10,True,instantaneous,2.0,16.011111111111113,0.23108952116585704,805.710377,806.5884932,0.7693389592123769,0.0,0.0,,0.23066104078762306,1422,0,328,1094,1094,10,0,0,0,328,0.045,,,True,error_rate=23.11%; pool_active=10 (max=10)
20260730T061543Z_rps18_lat400_none_admission-on,18,400,none,False,10,True,instantaneous,2.0,18,0.3333333333333333,805.77493545,806.29419709,0.6660424469413233,0.0,0.0,,0.33354153653966273,1602,0,535,1067,1067,10,0,0,0,534,0.055,,,True,error_rate=33.33%; pool_active=10 (max=10)
20260730T061803Z_rps12_lat400_none_admission-on_ewma,12,400,none,False,10,True,ewma,2.0,12,0,805.9889942,808.37591979,1.0,0.0,0.0,,0.0,1065,0,0,1065,1065,10,0,0,0,0,,0.901381809178252,0.9000527125668638,True,pool_active=10 (max=10)
20260730T062031Z_rps14_lat400_none_admission-on_ewma,14,400,none,False,10,True,ewma,2.0,14,0.6706349206349206,2004.09073775,2007.30507057,0.9390537289494787,0.0,0.0,,0.06841686555290374,1247,770,96,1171,1104,10,67,0,0,86,0.058,0.9999995062855205,0.9970464357107822,True,error_rate=67.06%; pool_timeouts=67; pool_active=10 (max=10)
20260730T062252Z_rps16_lat400_none_admission-on_ewma,16,400,none,False,10,True,ewma,2.0,16,0.8541666666666666,2004.0946849499999,2006.67325352,0.9310344827586207,0.0,0.0,,0.06962025316455696,1421,1077,134,1323,1107,10,216,0,0,99,0.041,0.9999994488161613,0.9978849800051742,True,error_rate=85.42%; pool_timeouts=216; pool_active=10 (max=10)
20260730T062512Z_rps18_lat400_none_admission-on_ewma,18,400,none,False,10,True,ewma,2.0,18,0.9376543209876543,2004.3763162999999,2006.8950850800002,0.9499687304565353,0.0,0.0,,0.050031269543464665,1599,1357,141,1519,1106,10,413,0,0,80,0.038,0.999999508679554,0.99741999326189,True,error_rate=93.77%; pool_timeouts=413; pool_active=10 (max=10)
