run_id,rps,injected_latency_ms,retry_policy,breaker_enabled,pool_size,admission_control_enabled,admission_control_mode,admission_ewma_half_life_s,admission_u_low,admission_grace_ms,throughput_rps,error_rate,p95_latency_ms,p99_latency_ms,amplification_factor,retry_rate,retry_success_rate,probe_success_rate,admission_rejection_rate,a_offered_count,a_timeout_count,a_upstream_error_count,b_received_count,b_success_count,b_pool_active_max,b_pool_timeout_count,b_query_timeout_count,b_error_count,b_admission_rejected_count,b_admission_rejected_latency_p95_ms,b_admission_ewma_utilization_max,b_admission_ewma_utilization_mean,saturated,saturation_reasons
20260730T091127Z_rps12_lat400_none,12,400,none,False,10,False,instantaneous,2.0,0.8,20.0,12.011111111111111,0,805.909919,806.8400627999999,1.0,0.0,0.0,,0.0,1066,0,0,1066,1066,10,0,0,0,0,,,,True,pool_active=10 (max=10)
20260730T091357Z_rps14_lat400_none,14,400,none,False,10,False,instantaneous,2.0,0.8,20.0,14,0.9992063492063492,2004.3110797000002,2009.0132357700002,1.0,0.0,0.0,,0.0,1243,1231,11,1243,1107,10,136,0,0,0,,,,True,error_rate=99.92%; pool_timeouts=136; pool_active=10 (max=10)
20260730T091619Z_rps16_lat400_none,16,400,none,False,10,False,instantaneous,2.0,0.8,20.0,16,1,2004.2781103000002,2007.39404622,1.00070323488045,0.0,,,0.0,1422,1381,41,1423,1110,10,313,0,0,0,,,,True,error_rate=100.00%; pool_timeouts=313; pool_active=10 (max=10)
20260730T091840Z_rps18_lat400_none,18,400,none,False,10,False,instantaneous,2.0,0.8,20.0,18,1,2004.31654025,2007.1761866900001,0.9993734335839599,0.0,,,0.0,1596,1526,70,1595,1105,10,490,0,0,0,,,,True,error_rate=100.00%; pool_timeouts=490; pool_active=10 (max=10)
20260730T092103Z_rps12_lat400_none_admission-on,12,400,none,False,10,True,instantaneous,2.0,0.8,20.0,12.011111111111111,0,805.922409,807.0870087999999,1.0,0.0,0.0,,0.0,1065,0,0,1065,1065,10,0,0,0,0,,,,True,pool_active=10 (max=10)
20260730T092331Z_rps14_lat400_none_admission-on,14,400,none,False,10,True,instantaneous,2.0,0.8,20.0,14.011111111111111,0.16653449643140364,805.855825,806.5735008,0.83266291230893,0.0,0.0,,0.16733708769107,1243,0,208,1035,1035,10,0,0,0,208,0.057,,,True,error_rate=16.65%; pool_active=10 (max=10)
20260730T092552Z_rps16_lat400_none_admission-on,16,400,none,False,10,True,instantaneous,2.0,0.8,20.0,16,0.22916666666666666,805.80802995,806.6140386,0.7684729064039408,0.0,0.0,,0.2320675105485232,1421,0,329,1092,1092,10,0,0,0,330,0.052,,,True,error_rate=22.92%; pool_active=10 (max=10)
20260730T092814Z_rps18_lat400_none_admission-on,18,400,none,False,10,True,instantaneous,2.0,0.8,20.0,18.011111111111113,0.33312769895126465,805.730452,806.245931,0.6662492172824045,0.0,0.0,,0.3341677096370463,1597,0,534,1064,1064,10,0,0,0,534,0.04,,,True,error_rate=33.31%; pool_active=10 (max=10)
20260730T093034Z_rps12_lat400_none_admission-on_bounded_grace,12,400,none,False,10,True,bounded_grace,2.0,0.8,20.0,12.011111111111111,0,805.963763,807.2302341999999,1.0009389671361502,0.0,0.0,,0.0,1065,0,0,1066,1066,10,0,0,0,0,,0.9,0.9000000000000002,True,pool_active=10 (max=10)
20260730T093301Z_rps14_lat400_none_admission-on_bounded_grace,14,400,none,False,10,True,bounded_grace,2.0,0.8,20.0,14.011111111111111,0.1308485329103886,826.058119,826.7753378,0.8689710610932476,0.0,0.0,,0.1310289389067524,1244,0,163,1081,1081,10,0,0,0,163,21.254,1.0,0.9258426966292138,True,error_rate=13.08%; pool_active=10 (max=10)
20260730T093525Z_rps16_lat400_none_admission-on_bounded_grace,16,400,none,False,10,True,bounded_grace,2.0,0.8,20.0,16,0.2298611111111111,806.239697,825.89965478,0.7692307692307693,0.0,0.0,,0.23076923076923078,1417,0,327,1090,1090,10,0,0,0,327,27.662,1.0,0.9235955056179779,True,error_rate=22.99%; pool_active=10 (max=10)
20260730T093746Z_rps18_lat400_none_admission-on_bounded_grace,18,400,none,False,10,True,bounded_grace,2.0,0.8,20.0,18,0.33271604938271604,805.76683655,806.4636917600001,0.66541588492808,0.0,0.0,,0.3341677096370463,1599,0,535,1064,1064,10,0,0,0,534,22.444,1.0,0.9348314606741578,True,error_rate=33.27%; pool_active=10 (max=10)
