run_id,rps,injected_latency_ms,retry_policy,breaker_enabled,pool_size,admission_control_enabled,admission_control_mode,admission_ewma_half_life_s,admission_u_low,admission_grace_ms,throughput_rps,error_rate,p95_latency_ms,p99_latency_ms,amplification_factor,retry_rate,retry_success_rate,probe_success_rate,admission_rejection_rate,a_offered_count,a_timeout_count,a_upstream_error_count,b_received_count,b_success_count,b_pool_active_max,b_pool_timeout_count,b_query_timeout_count,b_error_count,b_admission_rejected_count,b_admission_rejected_latency_p95_ms,b_admission_ewma_utilization_max,b_admission_ewma_utilization_mean,saturated,saturation_reasons
20260806T131512Z_rps12_lat400_none,12,400,none,False,10,False,instantaneous,2.0,0.8,20.0,12,0,806.1219974,806.69466473,1.0,0.0,0.0,,0.0,1065,0,0,1065,1065,10,0,0,0,0,,,,True,pool_active=10 (max=10)
20260806T131746Z_rps12_lat400_none_admission-on,12,400,none,False,10,True,instantaneous,2.0,0.8,20.0,12,0,806.60101075,811.8737911300001,0.9990627928772259,0.0,0.0,,0.0,1067,0,0,1066,1066,10,0,0,0,0,,,,True,pool_active=10 (max=10)
20260806T132018Z_rps12_lat400_none_admission-on_ewma,12,400,none,False,10,True,ewma,0.06,0.8,20.0,12,0,806.21405405,806.89254626,1.0,0.0,0.0,,0.0,1065,0,0,1065,1065,10,0,0,0,0,,0.9000000000000001,0.9000000000000002,True,pool_active=10 (max=10)
20260806T132250Z_rps12_lat400_none_admission-on_ewma,12,400,none,False,10,True,ewma,0.25,0.8,20.0,12,0,806.1120063,806.99251099,0.99906191369606,0.0,0.0,,0.0,1066,0,0,1065,1065,10,0,0,0,0,,0.9000000000000001,0.9000000000000002,True,pool_active=10 (max=10)
20260806T132521Z_rps12_lat400_none_admission-on_ewma,12,400,none,False,10,True,ewma,0.5,0.8,20.0,11.988888888888889,0,806.3757982000001,808.1421034,1.0,0.0,0.0,,0.0,1065,0,0,1065,1065,10,0,0,0,0,,0.8999999999999999,0.899999999999991,True,pool_active=10 (max=10)
20260806T132753Z_rps12_lat400_none_admission-on_ewma,12,400,none,False,10,True,ewma,1.0,0.8,20.0,12,0,811.55197495,815.56936866,1.0,0.0,0.0,,0.0,1067,0,0,1067,1067,10,0,0,0,0,,0.9000232540104856,0.9000005223964577,True,pool_active=10 (max=10)
20260806T133025Z_rps12_lat400_none_admission-on_ewma,12,400,none,False,10,True,ewma,2.0,0.8,20.0,12,0,806.3689301,807.13605712,1.0,0.0,0.0,,0.0,1065,0,0,1065,1065,10,0,0,0,0,,0.9014188038890469,0.9000538300588965,True,pool_active=10 (max=10)
20260806T133257Z_rps12_lat400_none_admission-on_ewma,12,400,none,False,10,True,ewma,4.0,0.8,20.0,12,0,806.94750095,808.61907155,1.0,0.0,0.0,,0.0,1066,0,0,1066,1066,10,0,0,0,0,,0.9054233638148473,0.9003789158924117,True,pool_active=10 (max=10)
20260806T133529Z_rps16_lat400_none,16,400,none,False,10,False,instantaneous,2.0,0.8,20.0,16.011111111111113,0.9993060374739764,2004.761435,2007.167303,1.0007047216349543,0.0,0.0,,0.0,1419,1385,33,1420,1104,10,316,0,0,0,,,,True,error_rate=99.93%; pool_timeouts=316; pool_active=10 (max=10)
20260806T133803Z_rps16_lat400_none_admission-on,16,400,none,False,10,True,instantaneous,2.0,0.8,20.0,16,0.23055555555555557,806.6448753000001,809.25028531,0.7697183098591549,0.0,0.0,,0.23028169014084507,1420,0,327,1093,1093,10,0,0,0,327,0.071,,,True,error_rate=23.06%; pool_active=10 (max=10)
