run_id,rps,retry_policy,injected_latency_ms,max_attempts,error_rate,p95_latency_ms,p99_latency_ms,amplification_factor,retry_rate,retry_success_rate,a_offered_count,a_success_count,a_retry_count,retry_delay_p50_ms_avg,retry_delay_p95_ms_avg,b_received_count,b_success_count,b_pool_active_max,arrival_count,arrival_burst_cv_25ms
20260729T071106Z_rps12_lat400_full_jitter,12,full_jitter,400,3,0,1011.0273825,1388.055034,1.0,0.0,0.0,1062,1062,0,,,1062,1062,10,1615,1.5303
20260729T071331Z_rps14_lat400_full_jitter,14,full_jitter,400,3,0.9975216852540273,6267.7021204,6295.74557542,3.0037641154328734,1.9962358845671266,0.5,797,2,1591,67.50911235955056,168.67808988764048,2394,1106,10,3379,1.1957
20260729T071557Z_rps16_lat400_full_jitter,16,full_jitter,400,3,0.9978331527627302,6273.320084,6300.50567958,2.9934354485776806,1.9978118161925602,0.5,914,2,1826,65.48631460674157,172.11948314606735,2736,1094,10,4029,1.0822
20260729T071823Z_rps18_lat400_full_jitter,18,full_jitter,400,3,0.9990467111534795,6269.2822358,6297.02754252,2.9844810863239575,1.9980601357904946,0.0,1031,1,2060,65.24084269662923,170.59850561797754,3077,1107,10,4584,1.0271
20260729T070124Z_rps12_lat400_immediate,12,immediate,400,3,0,1039.1294030000001,1431.04801875,1.0009433962264151,0.0,0.0,1060,1060,0,,,1061,1061,10,1616,1.5302
20260729T070350Z_rps14_lat400_immediate,14,immediate,400,3,0.9987966305655837,6015.7539799999995,6092.261298700001,2.997560975609756,2.0,1.0,820,1,1640,,,2458,1105,10,3446,1.4991
20260729T070615Z_rps16_lat400_immediate,16,immediate,400,3,0.9989462592202318,6022.8045636,6086.65764496,3.001058201058201,1.998941798941799,1.0,945,1,1889,,,2836,1105,10,4120,1.2749
20260729T070841Z_rps18_lat400_immediate,18,immediate,400,3,0.9962721342031687,6020.4907418,6149.5505465999995,2.9867799811142586,1.9971671388101984,0.75,1059,4,2115,,,3163,1109,10,4703,1.3079
20260729T065155Z_rps12_lat400_none,12,none,400,1,0,807.345189,808.8475936,1.0,0.0,0.0,1065,1065,0,,,1065,1065,10,1609,1.535
20260729T065420Z_rps14_lat400_none,14,none,400,1,1,2006.733026,2008.632636,0.999194847020934,0.0,,1242,0,0,,,1241,1104,10,1872,1.373
20260729T065642Z_rps16_lat400_none,16,none,400,1,1,2005.021382,2007.6213758,1.0,0.0,,1419,0,0,,,1419,1106,10,2137,1.2353
20260729T065903Z_rps18_lat400_none,18,none,400,1,0.999383096853794,2006.751627,2009.3394882,1.0012531328320802,0.0,0.0,1596,1,0,,,1598,1105,10,2404,1.1172
